,Filename,Pitch,Yaw,Roll,Direction,Int_direction
0,/home/snake/Desktop/pointing4_dataset/Forward/personne10259+15+0.jpg,16.8936,-5.2623,-0.6485,forward,0.0
1,/home/snake/Desktop/pointing4_dataset/Forward/personne04260+15+15.jpg,2.6867,-16.1409,-3.3763,forward,0.0
2,/home/snake/Desktop/pointing4_dataset/Forward/personne05272+30+0.jpg,21.984,-11.4805,-0.1396,forward,0.0
3,/home/snake/Desktop/pointing4_dataset/Forward/personne03147+0+15.jpg,-6.8065,-14.2182,2.1522,forward,0.0
4,/home/snake/Desktop/pointing4_dataset/Forward/personne14145+0-15.jpg,-0.31,13.6144,0.3098,forward,0.0
5,/home/snake/Desktop/pointing4_dataset/Forward/personne07245+0-15.jpg,-2.5427,17.7763,3.0883,forward,0.0
6,/home/snake/Desktop/pointing4_dataset/Forward/personne01260+15+15.jpg,5.4878,-0.7168,1.9244,forward,0.0
7,/home/snake/Desktop/pointing4_dataset/Forward/personne15146+0+0.jpg,-11.4634,2.8803,3.6657,forward,0.0
8,/home/snake/Desktop/pointing4_dataset/Forward/personne14233-15+0.jpg,-5.442,1.8417,2.3153,forward,0.0
9,/home/snake/Desktop/pointing4_dataset/Forward/personne12118-30-30.jpg,-11.5117,20.5435,4.7191,forward,0.0
10,/home/snake/Desktop/pointing4_dataset/Forward/personne04160+15+15.jpg,8.46,-15.8411,0.8274,forward,0.0
11,/home/snake/Desktop/pointing4_dataset/Forward/personne04133-15+0.jpg,-5.9375,-7.7151,-1.1125,forward,0.0
12,/home/snake/Desktop/pointing4_dataset/Forward/personne05146+0+0.jpg,-5.9467,-10.1088,-7.6495,forward,0.0
13,/home/snake/Desktop/pointing4_dataset/Forward/personne13174+30+30.jpg,24.8638,-31.7107,5.2982,forward,0.0
14,/home/snake/Desktop/pointing4_dataset/Forward/personne14118-30-30.jpg,-12.733,21.3217,8.3404,forward,0.0
15,/home/snake/Desktop/pointing4_dataset/Forward/personne15244+0-30.jpg,-9.0697,29.5071,4.7336,forward,0.0
16,/home/snake/Desktop/pointing4_dataset/Forward/personne06270+30-30.jpg,30.1159,20.202,-6.0902,forward,0.0
17,/home/snake/Desktop/pointing4_dataset/Forward/personne07145+0-15.jpg,-0.9619,19.062,3.2247,forward,0.0
18,/home/snake/Desktop/pointing4_dataset/Forward/personne03158+15-15.jpg,-1.1261,10.5007,3.4459,forward,0.0
19,/home/snake/Desktop/pointing4_dataset/Forward/personne06146+0+0.jpg,8.6631,-7.4595,2.2644,forward,0.0
20,/home/snake/Desktop/pointing4_dataset/Forward/personne03172+30+0.jpg,5.0151,3.0249,2.976,forward,0.0
21,/home/snake/Desktop/pointing4_dataset/Forward/personne01244+0-30.jpg,-0.0787,33.8252,0.6832,forward,0.0
22,/home/snake/Desktop/pointing4_dataset/Forward/personne12260+15+15.jpg,7.2869,-21.3525,1.1785,forward,0.0
23,/home/snake/Desktop/pointing4_dataset/Forward/personne08158+15-15.jpg,3.0505,14.6313,1.8281,forward,0.0
24,/home/snake/Desktop/pointing4_dataset/Forward/personne07219-30-15.jpg,-10.615,17.9287,8.0556,forward,0.0
25,/home/snake/Desktop/pointing4_dataset/Forward/personne13261+15+30.jpg,4.9273,-27.0206,-0.7159,forward,0.0
26,/home/snake/Desktop/pointing4_dataset/Forward/personne02172+30+0.jpg,16.0425,-6.6949,-6.3917,forward,0.0
27,/home/snake/Desktop/pointing4_dataset/Forward/personne09133-15+0.jpg,-8.9004,-5.7947,-1.9435,forward,0.0
28,/home/snake/Desktop/pointing4_dataset/Forward/personne02234-15+15.jpg,-8.8793,-19.1204,-6.4332,forward,0.0
29,/home/snake/Desktop/pointing4_dataset/Forward/personne14234-15+15.jpg,-8.5892,-18.1884,-0.6748,forward,0.0
30,/home/snake/Desktop/pointing4_dataset/Forward/personne14272+30+0.jpg,15.8548,-8.8222,-2.452,forward,0.0
